,TeenageDream,IWanttoHoldYourHand,BeautyandABeat,ImSoExcited,BusyEarnin,CantStop,NewRules,Umbrella,WakeMeUp,StayinAlive,Imagine,SweetDreamsAreMadeofThis,TheWayYouMakeMeFeel,SweetCaroline,LoseYourself,RollingintheDeep,Happy,DANCE,TheNightWeMet,IWillAlwaysLoveYou,Titanium,Summer,Thriller,EyeoftheTiger,Attention,TakeABow,ImStillStanding,TheGreatGigintheSky,SmellsLikeTeenSpirit,YouCantHurryLove,IWantItThatWay,Despacito,UptownFunk,PokerFace,MrBrightside,AllAboutThatBass,HipsDontLie,EasyLover,Firework,WhatsTheUse,IWantYouBack,StillDRE,TheShowMustGoOn,Heartbreaker,PinkWhite,ILoveRocknRoll,JusttheWayYouAre,Smooth,HighwaytoHell,BohemianRhapsody,BadGuy,HeartOfTheCityAintNoLove,JustanIllusion,WakeMeUpBeforeYouGoGo,StayWithMe,Creep,LivinonaPrayer,IWantYoutoWantMe,BadRomance,CantStoptheFeeling,ImaBeliever,BorntoBeWild,UptownGirl,BlindingLights
teenage,1.9867668746754799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24527986107104688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dream,1.53676687467548,0,0,0,0,0,0,0,0.117759913768236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24393124994848883,0.18972430551549133,0,0,0,0,1.9514499995879107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
katy,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perry,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0,0,0,0,0,0,0,0.21052631578947367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pop,0.07075187496394218,0,0.10107410709134597,0.033691369030448656,0,0,0.033691369030448656,0,0,0,0,0,0.0262043981347934,0.20214821418269194,0,0,0,0,0,0,0.06738273806089731,0.12863977266171306,0.03537593748197109,0,0.02482521928559375,0.044219921852463866,0.0524087962695868,0,0,0.07861319440438021,0.07075187496394218,0,0.04161874997878952,0.033691369030448656,0,0.027212259601516228,0,0,0.07861319440438021,0,0.04042964283653839,0,0,0,0,0,0,0,0,0,0,0,0,0.04716791664262812,0,0,0,0,0.010481759253917361,0.033691369030448656,0.07447565785678124,0,0,0.06431988633085653
you,0.14201900487242788,0.026299815717116273,0.14201900487242788,0.1014421463374485,0.14201900487242788,0.058660023751654994,0.04395826341289435,0.05996357983502511,0,0.031559778860539525,0.08876187804526743,0.05012435466085691,0.11308920758359998,0.06086528780246909,0.14201900487242788,0.14201900487242788,0.14201900487242788,0.03944972357567442,0.09467933658161859,0.14201900487242788,0.0879165268257887,0.11619736762289555,0.09586282828888883,0.006455409312383086,0.14201900487242788,0.14201900487242788,0.07889944715134883,0,0,0.11045922601188836,0.1207161541415637,0,0.14201900487242788,0.013525619511659797,0,0.027311347090851517,0.14201900487242788,0.12680268292181063,0.14201900487242788,0.12531088665214224,0.14201900487242788,0.008739631069072485,0,0.14201900487242788,0.11212026700454833,0.012349478684558947,0.14201900487242788,0.11496776584910828,0.006174739342279473,0.11045922601188836,0.06683247288114254,0.046156176583539064,0.011834917072702324,0.1278171043851851,0.09941330341069951,0.047339668290809295,0.007889944715134881,0.14201900487242788,0.015779889430269763,0.05748388292455414,0.007474684466969889,0,0.026628563413580227,0.03873245587429851
think,0.2415037499278844,0.26833749991987155,0,0.28750446419986236,0.603759374819711,0,0,0,0,0,0,0,0,0,0,0.08050124997596146,0,0,0,0.10062656246995183,0,0,0,0,0,0,0.08944583330662384,0,0,0,0,0,0,0,0,0.04644302883228546,0,0,0,0,0,0,0,0,0,0,0.25421447360829935,0,0,0.26833749991987155,0.14206102936934376,0,0,0,0,0,0,0,0,0,0,0,0,0
i'm,0.1524440711010976,0,0.14518482962009294,0.14518482962009294,0,0.03314001545676035,0.024197471603348824,0,0.17522307023114667,0.15056204553194824,0.25407345183516267,0,0.028230383537240295,0,0.014945497166774274,0.01693823012234418,0.3048881422021952,0,0.12703672591758133,0.042345575305860444,0.04839494320669765,0,0.06351836295879067,0.023097586530469335,0.0624040057138996,0,0.33876460244688356,0,0.014115191768620148,0,0,0,0.13450947450096848,0.04839494320669765,0.25407345183516267,0.23452934015553478,0.25407345183516267,0.07259241481004647,0,0.11956397733419419,0,0.10944702540591623,0.07259241481004647,0,0.026744573877385543,0,0,0,0.2651201236540828,0.11292153414896118,0.41847392066967964,0.13974039850933948,0,0.06775292048937671,0.10162938073406508,0.19761268476068208,0,0.04619517306093867,0.0075281022765974126,0.036296207405023234,0.45465775591555424,0.10162938073406508,0.142916316657279,0.25407345183516267
pretty,0.1707518749639422,0,0,0,0,0,0,0,0,0,0,0,0.06324143517183044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10044227939055424,0,0,0.06567379806305469,0,0,0,0,0.09757249997939554,0,0,0,0,0,0,0,0,0,0.20088455878110847,0,0,0,0,0,0,0,0,0,0,0,0,0
without,0.14150374992788436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377343333141025,0,0,0,0,0,0.07075187496394218,0,0,0,0.31445277761752083,0,0,0,0,0,0,0.06738273806089731,0,0,0,0,0,0.24971249987273714,0.08085928567307678,0,0,0,0,0,0.1489513157135625,0,0,0,0,0,0,0,0,0,0,0.2572795453234261,0,0,0,0,0,0
any,0.1596322538971198,0,0,0,0,0.13881065556271285,0,0,0.11009120958422054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1596322538971198,0,0,0,0,0.6385290155884792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3547383419935995,0,0,0.08868458549839987,0,0,0,0,0,0,0,0,0,0,0
makeup,0.30000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on,0.23732516678942323,0,0.19373483003218223,0,0,0.08844416153643102,0,0,0,0.10045509705372412,0,0.23931949592210747,0.20091019410744823,0,0.13960303928789602,0.022602396837087927,0.022602396837087927,0,0,0,0,0,0.050855392883447835,0.046232175348588936,0.02379199667061887,0,0.07534132279029308,0,0.01883533069757327,0.18835330697573274,0,0,0.27920607857579205,0.01614456916934852,0.11301198418543963,0,0.3390359525563189,0.2906022450482733,0.22602396837087926,0.039886582653684576,0.03874696600643644,0.13561438102252757,0.5812044900965466,0.048433707508045556,0.07137599001185661,0.11792554871524136,0,0,0.35377664614572407,0.07534132279029308,0.07977316530736915,0.050855392883447835,0.01883533069757327,0.18081917469670342,0,0,0.6404012437174913,0.041095266976523506,0,0.2583131067095763,0,0.27122876204505514,0,0.12328580092957052
funny,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14705882352941177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
when,0.19112117612830934,0.17696405197065676,0.20477268870890283,0,0,0.10387020441755941,0,0.1486498036553517,0.26361541534939215,0.035392810394131356,0,0,0,0.40954537741780567,0.05621211062597333,0,0,0,0.1592676467735911,0,0,0.4343663093825212,0,0,0.06706006179940678,0.05972536754009666,0,0,0,0.10617843118239406,0.09556058806415467,0,0,0.04550504193531174,0,0,0.1990845584669889,0,0.05308921559119703,0.22484844250389333,0.027303025161187044,0.044104886798840615,0,0,0.15088513904866524,0,0.3520653244468856,0,0,0,0.22484844250389333,0.023890147016038667,0,0.1592676467735911,0,0.10617843118239406,0.1592676467735911,0,0,0.3185352935471822,0.05029504634955508,0,0.14931341885024166,0.17374652375300847
i,0.09231235316707813,0.14201900487242788,0.11158636097119333,0.14201900487242788,0.017752375609053486,0.05248528440937552,0.14201900487242788,0.003155977886053953,0.14201900487242788,0.047339668290809295,0.07100950243621394,0.11695682754199943,0.023669834145404647,0.12173057560493818,0.041770295550714084,0.023669834145404647,0.01420190048724279,0,0.08284441950891627,0.11834917072702324,0.14201900487242788,0.06455409312383086,0.010651425365432092,0,0.03239029935686952,0.0310666573158436,0.026299815717116273,0.14201900487242788,0.03944972357567442,0.134129060157293,0.14201900487242788,0,0.012531088665214227,0.040576858534979394,0.11834917072702324,0.03004248179993667,0.0769269609725651,0,0,0.06265544332607112,0.14201900487242788,0.04369815534536243,0.033814048779149494,0,0.007474684466969889,0.14201900487242788,0.11959495147151822,0.06086528780246909,0,0.031559778860539525,0.06683247288114254,0.08166092780164602,0.011834917072702324,0.033137767803566504,0.11361520389794232,0.14201900487242788,0.03944972357567442,0.1291081862476617,0.042079705147386036,0.11834917072702324,0.11959495147151822,0.11361520389794232,0.022190469511316858,0.14201900487242788
tell,0.0915037499278844,0.06778055550213659,0,0,0,0.07956847819816033,0.43573214251373515,0,0.12621206886604744,0.13556111100427318,0,0,0.033890277751068294,0,0,0,0.12200499990384585,0,0.30501249975961464,0,0,0,0,0,0,0,0,0,0,0,1.0065412492067285,0,0.0538257352516967,0.04357321425137352,0,0.07038749994452646,0,0,0,0.0538257352516967,0.1568635713049447,0,0,0,0,0.15913695639632067,0.1926394735323882,0.08714642850274704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,0.02424193185298983,0.002565283793967178,0.0692626624371138,0.004947333031222414,0,0.0692626624371138,0.013192888083259772,0.0230875541457046,0.014330206021471822,0.028218121733638957,0.0692626624371138,0.05703983965409372,0.02693547983665537,0.029683998187334488,0.06722552530661045,0.06695390702254335,0.013852532487422763,0.0692626624371138,0.0692626624371138,0.00577188853642615,0.006596444041629886,0.044076239732708786,0.04848386370597966,0.0692626624371138,0.009721075429770357,0.03030241481623729,0.015391702763803068,0.05541012994969105,0.007695851381901534,0.0115437770728523,0.013852532487422763,0,0.010185685652516737,0.008245555052037357,0.028859442682130754,0.010655794221094432,0.05194699682783535,0.01731566560927845,0.06156681105521227,0.04277987974057029,0.009894666062444829,0.0692626624371138,0.0692626624371138,0.0346313312185569,0.0692626624371138,0.03312562116557617,0.05468104929245827,0.0692626624371138,0.03312562116557617,0.0346313312185569,0.02851991982704686,0.0692626624371138,0.007695851381901534,0.0115437770728523,0.006926266243711381,0.019239628454753837,0.015391702763803068,0,0.001539170276380307,0.04122777526018679,0.02551782300314719,0.0692626624371138,0,0.047224542570759406
punch,0.30000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
line,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wrong,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
know,0.037603624327820724,0,0.05371946332545817,0.26859731662729086,0,0.04904820564498355,0.12534541442606906,0.08356360961737938,0.28526887421105374,0.02785453653912646,0,0,0,0.21487785330183268,0,0,0.10027633154085526,0,0.12534541442606906,0.06267270721303453,0,0,0.018801812163910362,0,0.0791655249006752,0.1880181216391036,0.1392726826956323,0,0.020890902404344845,0,0.07520724865564145,0,0.04423955803273026,0,0,0.11570345947021761,0.2193544752456209,0.1880181216391036,0.08356360961737938,0.11059889508182566,0.02148778533018327,0.023140691894043525,0.10743892665091634,0.16115838997637452,0,0,0.2374965747020256,0,0,0,0.08847911606546052,0.037603624327820724,0,0,0.07520724865564145,0,0,0.06837022605058314,0.02228362923130117,0.03581297555030545,0,0.1504144973112829,0.14101359122932772,0.06837022605058314
get,0.1867668746754797,0,0.17787321397664732,0.11858214265109822,0.9338343733773985,0.05413532599289266,0,0,0.04293491371850108,0.13834583309294793,0,0.14648382327488604,0,0,0.25634669073105054,0,0,0.06917291654647396,0,0,0.05929107132554911,0,0.031127812445913283,0,0,0.038909765557391604,0,0,0,0,0,0,0.03662095581872151,0.11858214265109822,0,0,0,0.4002147314474565,0,0.21972573491232908,0,0.05746673066937837,0,0,0,0,0,0.17787321397664732,0,0.13834583309294793,0.21972573491232908,0.062255624891826566,0.03458645827323698,0,0,0,0,0.07546136350524432,0,0,0.19659671018471547,0.49804499913461253,0,0
me,0.2456809935213783,0.07279436845077875,0,0.07019456957753666,0,0.021363564654032895,0.03899698309863147,0.0873532421409345,0.090365422904415,0.1819859211269469,0,0,0.3275746580285044,0.09359275943671554,0.03853819506217698,0.25114057115518673,0.12011070794378494,0.030330986854491145,0.19108521718329424,0.013648944084521015,0.15598793239452588,0,0.01637873290142522,0,0.09195078120098368,0.010236708063390762,0.03639718422538937,0,0.009099296056347343,0.09099296056347345,0.19654479481710263,0.059559028732455346,0.18305642654534068,0.10919155267616812,0.1637873290142522,0.012599025308788632,0.05459577633808406,0,0,0.07707639012435397,0.09359275943671554,0.015118830370546357,0,0.1637873290142522,0.1724077147518444,0.21363564654032896,0.05172231442555332,0.01559879323945259,0.08545425861613158,0.3275746580285044,0.05780729259326548,0.0818936645071261,0.07279436845077875,0.29481719222565395,0.3275746580285044,0.018198592112694686,0,0.17867708619736603,0.01455887369015575,0,0.05172231442555332,0,0,0.059559028732455346
