word,frequency,documents
Teenage,2,1 39
Dream,4,1 38 39 44
Katy,2,1 39
Perry,2,1 39
2010,4,1 16 39 47
Pop,22,1 3 4 7 13 14 23 25 26 27 30 31 33 34 36 39 41 54 59 60 61 64
You,40,1 4 5 7 8 10 11 13 15 16 18 20 21 22 23 24 25 26 27 30 31 36 37 39 40 41 42 44 45 47 48 51 52 54 56 57 58 59 63 64
think,9,1 2 4 5 20 27 36 47 50
I'm,44,1 3 4 6 7 9 10 11 13 15 16 17 19 20 21 23 24 25 27 29 33 34 35 36 37 38 40 42 43 45 49 50 51 52 54 55 56 58 59 60 61 62 63 64
pretty,6,1 13 33 36 41 51
without,7,1 17 34 40 41 47 58
any,5,1 6 9 23 53
makeup,1,1
on,37,1 3 6 10 12 13 15 16 23 24 25 27 29 30 33 34 35 37 38 40 41 42 43 44 45 46 49 50 51 52 53 54 57 58 60 62 64
funny,2,1 40
when,27,1 2 3 6 8 9 10 14 15 25 26 30 31 34 37 39 40 42 45 47 51 52 54 57 60 63 64
I,57,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 25 26 27 28 29 30 31 33 34 35 36 37 40 41 42 43 45 46 47 48 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64
tell,16,1 2 6 7 9 10 13 17 19 33 34 36 41 46 47 48
the,59,1 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 59 60 61 62 64
punch,1,1
line,2,1 43
wrong,2,1 41
know,38,1 3 4 6 7 8 9 10 14 17 19 20 23 25 26 27 29 31 33 36 37 38 39 40 41 42 43 44 47 51 52 55 58 59 60 62 63 64
you,54,1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 25 26 27 30 31 33 34 36 37 38 39 40 41 42 44 45 46 47 48 49 50 51 52 53 54 55 56 58 59 60 61 64
get,24,1 3 4 5 6 9 10 12 15 21 23 26 33 34 38 40 42 48 50 51 52 53 58 61
"me,",18,1 7 8 10 14 26 27 33 34 36 40 45 46 47 50 51 52 55
so,25,1 4 6 7 13 14 15 22 26 33 37 38 39 40 46 47 48 51 54 55 56 57 60 62 63
let,18,1 2 4 7 8 15 23 30 34 39 40 41 45 47 50 51 53 64
my,48,1 2 3 6 7 8 9 10 13 14 15 16 21 22 24 25 26 27 29 30 31 33 34 35 36 37 40 42 43 44 45 46 48 49 50 51 52 53 54 55 57 58 59 60 61 62 63 64
walls,1,1
come,14,1 5 6 8 14 15 17 30 33 37 45 46 50 60
"down,",5,1 15 21 49 55
