,TeenageDream,IWanttoHoldYourHand,BeautyandABeat,ImSoExcited,BusyEarnin,CantStop,NewRules,Umbrella,WakeMeUp,StayinAlive,Imagine,SweetDreamsAreMadeofThis,TheWayYouMakeMeFeel,SweetCaroline,LoseYourself,RollingintheDeep,Happy,DANCE,TheNightWeMet,IWillAlwaysLoveYou,Titanium,Summer,Thriller,EyeoftheTiger,Attention,TakeABow,ImStillStanding,TheGreatGigintheSky,SmellsLikeTeenSpirit,YouCantHurryLove,IWantItThatWay,Despacito,UptownFunk,PokerFace,MrBrightside,AllAboutThatBass,HipsDontLie,EasyLover,Firework,WhatsTheUse,IWantYouBack,StillDRE,TheShowMustGoOn,Heartbreaker,PinkWhite,ILoveRocknRoll,JusttheWayYouAre,Smooth,HighwaytoHell,BohemianRhapsody,BadGuy,HeartOfTheCityAintNoLove,JustanIllusion,WakeMeUpBeforeYouGoGo,StayWithMe,Creep,LivinonaPrayer,IWantYoutoWantMe,BadRomance,CantStoptheFeeling,ImaBeliever,BorntoBeWild,UptownGirl,BlindingLights
Teenage,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dream,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0625,0,0,0,0,0.6153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katy,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pop,0.06666666666666667,0,0.07142857142857142,0.023809523809523808,0,0,0.02631578947368421,0,0,0,0,0,0.018867924528301886,0.14285714285714285,0,0,0,0,0,0,0,0,0.02702702702702703,0,0.023809523809523808,0.0625,0.05555555555555555,0,0,0.05555555555555555,0.05,0,0.03125,0.03333333333333333,0,0.020833333333333332,0,0,0.0625,0,0.03225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464,0,0,0,0,0.020833333333333332,0.030303030303030304,0.05263157894736842,0,0,0.045454545454545456
You,0.5333333333333333,0,0,0.023809523809523808,1.0,0,0.18421052631578946,0.36666666666666664,0,0.038461538461538464,0.25,0,0.18867924528301888,0,0.7096774193548387,0.2692307692307692,0,0.08333333333333333,0,0.21052631578947367,0.42857142857142855,0.2857142857142857,0.21621621621621623,0.047619047619047616,0.19047619047619047,0.375,0.2222222222222222,0,0,0.3888888888888889,0.15,0,0,0,0,0.020833333333333332,0.15789473684210525,0,0.1875,0.25,0.03225806451612903,0.015625,0,0.07692307692307693,0.1111111111111111,0,0.11764705882352941,0.2,0,0,0.06666666666666667,0.02631578947368421,0,0.2692307692307692,0,0.05555555555555555,0.05555555555555555,0.1,0.16666666666666666,0,0,0,0.375,0.09090909090909091
think,0.13333333333333333,0.1111111111111111,0,0.11904761904761904,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0,0,0,0,0,0,0.05555555555555555,0,0,0,0,0,0,0,0,0.020833333333333332,0,0,0,0,0,0,0,0,0,0,0.11764705882352941,0,0,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm,0.4,0,0.2857142857142857,0.2857142857142857,0,0.075,0.05263157894736842,0,0.3448275862068966,0.3076923076923077,0.5,0,0.05660377358490566,0,0.03225806451612903,0.038461538461538464,0.6428571428571429,0,0.2727272727272727,0.10526315789473684,0.09523809523809523,0,0.13513513513513514,0.047619047619047616,0.16666666666666666,0,1.0,0,0.047619047619047616,0,0,0,0.28125,0.13333333333333333,0.5,0.5,0.631578947368421,0.2,0,0.3333333333333333,0,0.21875,0.23076923076923078,0,0.05555555555555555,0,0,0,0.55,0.26666666666666666,0.8,0.2894736842105263,0,0.15384615384615385,0.2222222222222222,0.3888888888888889,0,0.1,0.041666666666666664,0.09090909090909091,0.7368421052631579,0.2,0.5625,0.5
pretty,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.018867924528301886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0.020833333333333332,0,0,0,0,0.03225806451612903,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
